Headline,Link,Summary,Scraped_Date,Classified
Guldpriset slår nytt rekord – 4 100 dollar per uns,https://omni.se/guldpriset-slar-nytt-rekord-4-100-dollar-per-uns/a/jQ677o,"Spotpriset på guld har passerat den nya rekordnivån 4 100 dollar per uns, enligt Infronts börsdata.",2025-10-15,True
Återhämtning i ekonomin men jobben släpar efter,https://omni.se/scb-aterhamtning-i-ekonomin-arbetsmarknad-slapar-efter/a/Ey31rG,Svensk ekonomi befinner sig fortfarande i en återhämtningsfas. I alla fall enligt SCB:s så kallade konjunkturklocka där 13 olika indikatorer från augusti sammanställts.,2025-10-16,True
Börsen hovrar kring nollan – Nordea drar med banker upp,https://omni.se/borsen-mot-smasur-oppning/a/KMO5my,"Stockholmsbörsen handlas omväxlande över och under nollan på torsdagen. Vid klockan 10.20 är utvecklingen så här: 

• OMXSPI: +0,1%
• OMXS30: +0,1%",2025-10-16,True
”Risk att världen frikopplar sig – ekonomisk tvångsåtgärd”,https://omni.se/risk-att-varlden-frikopplar-sig-ekonomisk-tvangsatgard/a/dRxKvA,"USA:s finansminister har varnat Peking för att världen kan ”frikoppla sig” från Kina när landet infört hårdare exportrestriktioner på sällsynta jordartsmetaller, skriver Financial Times.",2025-10-16,True
Endast 18 procent oroas av prisfall på egna boendet,https://omni.se/enkat-endast-18-procent-oroas-av-prisfall-pa-egna-boendet/a/JbVm77,"Bland bostadsägare är det bara 18 procent som oroar sig för att värdet på det egna boendet ska minska – den lägsta nivån sedan 2018. Detta enligt en Sifoundersökning beställd av Länsförsäkringar Fastighetsförmedling, enligt SvD.",2025-10-16,True
Nordeas vinst och räntenetto bättre än befarat,https://omni.se/nordeas-rantenetto-klart-battre-an-vantat/a/dRxKMq,Nordeas rörelseresultat minskade med nära 9 procent under det tredje kvartalet. Samtidigt krympte räntenettot med cirka 6 procent. Båda talen var bättre än befarat.,2025-10-16,True
ABB bättre över hela linjen – orderingång krossar estimat,https://omni.se/abb-s-orderingang-langt-over-forvantan/a/GyoWOB,"ABB:s delår överträffade förväntningarna över hela linjen i morgonens delår för tredje kvartalet. Orderingången steg 12 procent på årsbasis, vilket var betydligt mer än vad analytikerna väntat sig.",2025-10-16,True
Trump: Modi har lovat sluta köpa rysk olja inom kort,https://omni.se/trump-modi-har-lovat-sluta-kopa-rysk-olja-inom-kort/a/yEkodE,"Premiärminister Narendra Modi har försäkrat Donald Trump om att Indien ska sluta köpa olja från Ryssland, säger presidenten till reportrar vid Vita huset.",2025-10-16,True
Domstol pausar Trumps massuppsägningar,https://omni.se/domstol-pausar-trumps-massuppsagningar/a/5EPal6,"En federal domare i Kalifornien beordrar Trump-administrationen att pausa sina planerade massuppsägningar av statligt anställda under den pågående nedstängningen, rapporterar CNBC och Reuters.",2025-10-16,True
Källor: Stegra tar in kriskonsult,https://omni.se/kallor-stegra-tar-in-samma-kriskonsult-som-northvolt/a/XjvmWn,"Samtidigt som Stegra jagar nytt kapital har det gröna stålbolaget anlitat den amerikanska kriskonsulten PJT Partners, uppger källor för Affärsvärlden. Banken anlitas ofta för rekonstruktioner och är flitigt anlitad av bolag i kris. Exempelvis anlitades de av Northvolts långivare, noterar tidningen.",2025-10-16,True
Trumpnära miljardärer får licens för ny bank,https://omni.se/trumplojalister-far-banklicens-ingen-sarskild-behandling/a/dRxWy1,"USA:s tillsynsmyndigheter har godkänt banken Erebor som är backad av en grupp högprofilerade techmiljardärer med kopplingar till Trump-administrationen, rapporterar FT.",2025-10-16,True
Tesla åter i rätten för att försvara miljardbonus,https://omni.se/tesla-ater-i-ratten-for-att-forsvara-lonepaket-vart-miljarder/a/W0QG2k,Under onsdagen väntas Tesla återigen ta plats i rätten för att argumentera för det rekordstora bonuspaket på 56 miljarder dollar som styrelsen tilldelade vd Elon Musk 2018. Det skriver Market Watch.,2025-10-16,True
Fackförbund anmäler norskt bolag: ”Strejkbrytare”,https://omni.se/fackforbund-anmaler-norskt-bolag-strejkbrytare/a/RzJArr,En norsk underleverantör till Teslas verkstad i Kalmar polisanmäls av fackförbundet Elektrikerna för att ha utfört olagliga elinstallationer. Det rapporterar SVT Nyheter.,2025-10-16,True
41-åring döms för grov marknadsmanipulation,https://omni.se/haussande-borstwittrare-doms-pump-and-dump-upplagg/a/KMOx2M,Svea hovrätt dömer en 41-årig man för grov marknadsmanipulation för att ha spridit vilseledande aktierekommendationer och haussat flera bolag på Twitter inom ramen för ett så kallat ”pump and dump-upplägg”. Ytterligare två män döms för medhjälp till brottet.,2025-10-16,True
Norge sneglar på Sverige i nya skatteregler för fonder,https://omni.se/norge-sneglar-pa-sverige-i-nya-skatteregler-for-fonder/a/LM8RbJ,"Det norska finansdepartementet vill ändra skattereglerna för värdepappersfonder så att de blir mer lika EU-regler och Sverige. Det framgår av styrande Arbeiderpartiets budget för nästa år som presenterades under morgonen, skriver E24.",2025-10-16,True
Matpriserna sjönk i grevens tid: ”Chans att komma ikapp”,https://omni.se/matpriserna-sjonk-i-grevens-tid/a/Mn4l7K,"Att matpriserna börjar sjunka är en lättnad som kom i ”grevens tid”, skriver Avanzas sparekonom Felicia Schön i en mejlkommentar till morgonens inflationssiffra för september.",2025-10-16,True
